Iteration,Random_Max,Random_Avg
777,0.411349,0.130178
778,0.411349,0.131661
779,0.411349,0.128491
780,0.411349,0.130009
781,0.414578,0.130318
782,0.414578,0.130895
783,0.414578,0.125064
784,0.414578,0.125288
785,0.414578,0.127592
786,0.414578,0.125945
787,0.414578,0.129927
788,0.414578,0.126714
789,0.414578,0.132511
790,0.414578,0.125733
791,0.414578,0.133639
792,0.414578,0.127696
793,0.414578,0.123259
794,0.414578,0.128823
795,0.414578,0.126488
796,0.414578,0.126898
797,0.414578,0.126135
798,0.414578,0.133533
799,0.414578,0.131990
800,0.414578,0.128483
801,0.414578,0.125408
802,0.414578,0.124566
803,0.414578,0.123554
804,0.414578,0.125661
805,0.414578,0.126441
806,0.414578,0.129106
807,0.414578,0.127906
808,0.414578,0.129843
809,0.414578,0.129363
810,0.414578,0.126649
811,0.414578,0.127483
812,0.414578,0.131110
813,0.414578,0.129289
814,0.414578,0.124494
815,0.414578,0.128247
816,0.414578,0.127938
817,0.414578,0.124942
818,0.414578,0.125176
819,0.414578,0.128315
820,0.414578,0.129943
821,0.414578,0.126957
822,0.414578,0.127122
823,0.414578,0.127666
824,0.414578,0.126168
825,0.414578,0.130673
826,0.414578,0.125813
827,0.414578,0.128846
828,0.414578,0.124447
829,0.414578,0.132705
830,0.414578,0.130585
831,0.414578,0.127776
832,0.414578,0.133091
833,0.414578,0.126821
834,0.414578,0.130356
835,0.414578,0.129254
836,0.414578,0.127501
837,0.414578,0.128182
838,0.414578,0.126893
839,0.414578,0.130321
840,0.414578,0.129084
841,0.414578,0.130227
842,0.414578,0.127533
843,0.414578,0.128313
844,0.414578,0.126867
845,0.414578,0.129537
846,0.414578,0.129814
847,0.414578,0.130297
848,0.414578,0.124900
849,0.414578,0.128000
850,0.414578,0.129779
851,0.414578,0.127211
852,0.414578,0.130453
853,0.414578,0.127684
854,0.414578,0.131636
855,0.414578,0.128180
856,0.414578,0.129976
857,0.414578,0.130097
858,0.414578,0.129555
859,0.414578,0.129583
860,0.414578,0.128001
861,0.414578,0.130118
862,0.414578,0.128609
863,0.414578,0.130394
864,0.414578,0.127959
865,0.414578,0.125296
866,0.414578,0.128437
867,0.414578,0.130581
868,0.414578,0.126426
869,0.414578,0.130593
870,0.414578,0.129557
871,0.414578,0.130264
872,0.414578,0.128495
873,0.414578,0.128903
874,0.414578,0.130623
875,0.414578,0.129470
876,0.414578,0.127323
877,0.414578,0.128825
878,0.414578,0.127823
879,0.414578,0.128420
880,0.414578,0.132184
881,0.414578,0.129703
882,0.414578,0.129836
883,0.414578,0.129599
884,0.414578,0.130571
885,0.414578,0.128335
886,0.414578,0.130535
887,0.414578,0.128097
888,0.414578,0.129304
889,0.414578,0.128585
890,0.414578,0.124875
891,0.414578,0.129934
892,0.414578,0.131913
893,0.414578,0.129435
894,0.414578,0.131309
895,0.414578,0.124453
896,0.414578,0.128933
897,0.414578,0.129433
898,0.414578,0.134746
899,0.414578,0.128553
900,0.414578,0.126144
901,0.414578,0.131602
902,0.414578,0.129251
903,0.414578,0.129465
904,0.414578,0.126401
905,0.414578,0.128793
906,0.414578,0.133930
907,0.414578,0.127438
908,0.414578,0.130408
